time,sensor1,sensor2
2019-01-13 23:22:33,21.38,14.12
2019-01-13 23:32:34,20.12,2.12
2019-01-13 23:42:35,19.88,2.75
2019-01-13 23:52:35,19.81,1.56
2019-01-14 00:02:36,19.75,1.38
2019-01-14 00:12:37,19.75,0.94
2019-01-14 00:22:37,19.69,-1.31
2019-01-14 00:32:38,19.69,-1.62
2019-01-14 00:42:39,19.62,-2.12
2019-01-14 00:52:39,19.56,-2.19
2019-01-14 01:02:40,19.56,-2.12
2019-01-14 01:12:41,19.62,-1.88
2019-01-14 01:22:41,19.56,-0.44
2019-01-14 01:32:42,19.56,0.25
2019-01-14 01:42:43,19.56,-3.88
2019-01-14 01:52:43,19.56,-1.69
2019-01-14 02:02:44,19.56,-3.31
2019-01-14 02:12:45,19.50,-2.44
2019-01-14 02:22:45,19.50,-3.69
2019-01-14 02:32:46,19.44,-4.38
2019-01-14 02:42:47,19.44,-2.62
2019-01-14 02:52:47,19.44,-3.62
2019-01-14 03:02:48,19.44,-2.50
2019-01-14 03:12:48,19.44,-3.88
2019-01-14 03:22:49,19.38,-4.88
2019-01-14 03:32:50,19.38,-5.19
2019-01-14 03:42:50,19.38,-2.44
2019-01-14 03:52:51,19.38,-4.56
2019-01-14 04:02:52,19.38,-5.19
2019-01-14 04:12:52,19.31,-5.56
2019-01-14 04:22:53,19.31,-5.69
2019-01-14 04:32:54,19.38,-5.62
2019-01-14 04:42:54,19.38,-5.12
2019-01-14 04:52:55,19.31,-5.81
2019-01-14 05:02:56,19.25,-5.62
2019-01-14 05:12:56,19.25,-5.88
2019-01-14 05:22:57,19.25,-5.50
2019-01-14 05:32:58,19.25,-3.81
2019-01-14 05:42:58,19.25,-4.81
2019-01-14 05:52:59,19.19,-5.69
2019-01-14 06:03:00,19.19,-3.00
2019-01-14 06:13:00,19.19,-5.19
2019-01-14 06:23:01,19.19,-3.69
