time,sensor1,sensor2
2019-01-14 07:55:57,19.62,21.06
2019-01-14 08:05:58,19.56,20.31
2019-01-14 08:15:59,19.94,20.94
2019-01-14 08:25:59,20.19,21.44
2019-01-14 08:36:00,19.75,20.81
2019-01-14 08:46:01,19.62,20.44
2019-01-14 08:56:01,19.31,20.00
2019-01-14 09:06:02,19.81,20.31
2019-01-14 09:16:03,20.31,21.19
2019-01-14 09:26:03,20.56,21.69
2019-01-14 09:36:04,20.25,21.44
2019-01-14 09:46:05,20.19,21.19
2019-01-14 09:56:05,20.06,20.94
2019-01-14 10:06:06,20.06,20.88
2019-01-14 10:16:07,20.00,20.75
2019-01-14 10:26:07,20.00,20.69
2019-01-14 10:36:08,19.94,20.62
2019-01-14 10:46:09,19.94,20.62
2019-01-14 10:56:09,19.88,20.69
2019-01-14 11:06:10,19.94,20.69
2019-01-14 11:16:11,20.00,20.75
2019-01-14 11:26:11,20.06,20.69
2019-01-14 11:36:12,20.00,20.62
2019-01-14 11:46:13,20.00,20.75
2019-01-14 11:56:13,19.94,20.75
2019-01-14 12:06:14,20.06,20.81
2019-01-14 12:16:15,20.19,20.88
2019-01-14 12:26:15,20.25,21.00
2019-01-14 12:36:16,20.12,20.94
2019-01-14 12:46:17,20.31,21.06
2019-01-14 12:56:17,20.50,21.19
2019-01-14 13:06:18,20.62,21.19
2019-01-14 13:16:19,20.56,21.12
2019-01-14 13:26:19,20.75,21.12
2019-01-14 13:36:20,21.06,21.38
2019-01-14 13:46:21,21.06,21.62
2019-01-14 13:56:21,21.25,21.62
2019-01-14 14:06:22,21.62,22.06
2019-01-14 14:16:23,21.75,22.31
2019-01-14 14:26:23,21.88,22.62
2019-01-14 14:36:24,22.06,22.44
2019-01-14 14:46:25,21.94,22.38
2019-01-14 14:56:25,21.75,22.12
2019-01-14 15:06:26,21.44,21.81
2019-01-14 15:16:26,21.19,21.50
2019-01-14 15:26:27,21.06,21.44
2019-01-14 15:36:28,20.94,21.31
2019-01-14 15:46:28,20.81,21.19
2019-01-14 15:56:29,20.75,21.12
2019-01-14 16:06:30,20.94,21.19
2019-01-14 16:16:30,20.94,21.25
2019-01-14 16:26:31,21.06,21.38
2019-01-14 16:36:32,21.06,21.50
2019-01-14 16:46:32,20.81,21.50
2019-01-14 16:56:33,20.75,21.38
2019-01-14 17:06:34,20.50,20.94
2019-01-14 17:16:34,20.38,20.75
2019-01-14 17:26:35,20.31,20.62
2019-01-14 17:36:36,20.19,20.50
2019-01-14 17:46:36,20.12,20.38
2019-01-14 17:56:37,20.06,20.38
2019-01-14 18:06:38,19.94,20.44
2019-01-14 18:16:38,19.94,20.38
2019-01-14 18:26:39,19.88,20.44
2019-01-14 18:36:40,19.88,20.50
2019-01-14 18:46:40,19.88,20.38
2019-01-14 18:56:41,19.88,20.38
2019-01-14 19:06:42,19.81,20.44
2019-01-14 19:16:42,19.81,20.38
2019-01-14 19:26:43,19.81,20.38
2019-01-14 19:36:44,19.75,20.50
2019-01-14 19:46:44,19.75,20.38
2019-01-14 19:56:45,19.69,20.25
2019-01-14 20:06:46,19.69,20.25
2019-01-14 20:16:46,19.69,20.31
2019-01-14 20:26:47,19.69,20.31
2019-01-14 20:36:48,19.75,20.38
2019-01-14 20:46:48,19.69,20.44
2019-01-14 20:56:49,19.69,20.25
2019-01-14 21:06:50,19.75,20.44
2019-01-14 21:16:50,19.75,20.38
2019-01-14 21:26:51,19.75,20.31
2019-01-14 21:36:52,19.69,20.25
2019-01-14 21:46:52,19.69,20.31
2019-01-14 21:56:53,19.75,20.38
2019-01-14 22:06:54,19.69,20.31
2019-01-14 22:16:54,19.69,20.31
2019-01-14 22:26:55,19.75,20.31
2019-01-14 22:36:56,19.69,20.31
2019-01-14 22:46:56,19.69,20.31
2019-01-14 22:56:57,19.69,20.12
2019-01-14 23:06:58,19.69,20.25
2019-01-14 23:16:58,19.62,20.19
2019-01-14 23:26:59,19.62,20.12
2019-01-14 23:36:59,19.62,20.12
2019-01-14 23:47:00,19.69,20.19
2019-01-14 23:57:01,19.62,20.19
2019-01-15 00:07:01,19.62,20.25
2019-01-15 00:17:02,19.69,20.31
2019-01-15 00:27:03,19.69,20.31
2019-01-15 00:37:03,19.69,20.19
2019-01-15 00:47:04,19.69,20.31
2019-01-15 00:57:05,19.69,20.31
2019-01-15 01:07:05,19.69,20.25
2019-01-15 01:17:06,19.62,20.25
2019-01-15 01:27:07,19.69,20.25
2019-01-15 01:37:07,19.62,20.19
2019-01-15 01:47:08,19.62,20.19
2019-01-15 01:57:09,19.62,20.19
2019-01-15 02:07:09,19.62,20.25
2019-01-15 02:17:10,19.62,20.31
2019-01-15 02:27:11,19.69,20.25
2019-01-15 02:37:11,19.62,20.19
2019-01-15 02:47:12,19.69,20.25
2019-01-15 02:57:13,19.75,20.31
2019-01-15 03:07:13,19.75,20.31
2019-01-15 03:17:14,19.75,20.38
2019-01-15 03:27:15,19.81,20.31
2019-01-15 03:37:15,19.81,20.31
2019-01-15 03:47:16,19.81,20.38
2019-01-15 03:57:17,19.81,20.44
2019-01-15 04:07:17,19.88,20.44
2019-01-15 04:17:18,19.88,20.50
2019-01-15 04:27:19,19.88,20.50
2019-01-15 04:37:19,19.88,20.50
2019-01-15 04:47:20,19.94,20.56
2019-01-15 04:57:21,19.94,20.56
2019-01-15 05:07:21,20.00,20.50
